Satellite_data,ndviMedian,ndviStddev,pixelJdateMode,pixelJdateStddev
14-Mar-06,0.521,0.097,80,0
22-Mar-06,0.51,0.1,86,0.653
30-Mar-06,0.521,0.081,90,0.254
7-Apr-06,0.514,0.093,100,1.243
15-Apr-06,0.526,0.079,111,0.692
23-Apr-06,0.545,0.083,118,0.217
1-May-06,0.592,0.07,125,0.813
9-May-06,,,,
17-May-06,0.787,0.074,144,2.104
25-May-06,0.811,0.065,150,0.646
2-Jun-06,,,,
10-Jun-06,0.844,0.046,167,0.986
18-Jun-06,0.854,0.061,169,0
26-Jun-06,0.866,0.059,184,0.851
4-Jul-06,0.863,0.053,191,0.678
12-Jul-06,0.866,0.064,198,0.673
20-Jul-06,0.876,0.055,201,1.351
28-Jul-06,0.855,0.049,211,1.583
5-Aug-06,0.861,0.067,221,0.818
13-Aug-06,0.856,0.057,226,1.473
21-Aug-06,0.845,0.05,234,0
29-Aug-06,0.838,0.116,243,0.396
6-Sep-06,0.826,0.057,255,1.638
14-Sep-06,0.794,0.064,260,1.478
22-Sep-06,0.764,0.053,270,0.257
30-Sep-06,0.693,0.056,280,0.74
8-Oct-06,0.655,0.063,287,0.737
16-Oct-06,0.643,0.056,289,0.362
24-Oct-06,0.642,0.078,303,0.419
1-Nov-06,0.632,0.069,305,2.107
9-Nov-06,0.6,0.072,315,0
17-Nov-06,0.623,0.08,328,0.461
25-Nov-06,0.634,0.076,329,0.191
3-Dec-06,0.619,0.077,337,0
11-Dec-06,0.598,0.075,348,0.94
19-Dec-06,0.608,0.083,354,0.438
27-Dec-06,0.448,0.152,2.993,157.407
1-Jan-07,0.588,0.13,7,1.416
9-Jan-07,0.49,0.21,9,3.273
17-Jan-07,0.4,0.123,17,0.878
25-Jan-07,0.214,0.128,25,2.058
2-Feb-07,0.198,0.086,34,1.747
10-Feb-07,0.212,0.1,48,0.886
18-Feb-07,0.115,0.08,50,1.836
26-Feb-07,0.248,0.109,59,0.704
6-Mar-07,0.178,0.106,66,0.613
14-Mar-07,0.24,0.128,80,1.251
22-Mar-07,0.436,0.112,88,1.733
30-Mar-07,0.493,0.081,90,0
7-Apr-07,0.259,0.095,101,0
15-Apr-07,0.51,0.086,112,0.905
23-Apr-07,0.533,0.087,114,0.034
1-May-07,0.545,0.071,128,3.147
9-May-07,0.701,0.062,132,0.042
17-May-07,0.795,0.074,144,0.393
25-May-07,0.798,0.067,146,0.775
2-Jun-07,0.863,0.049,159,1.324
10-Jun-07,0.85,0.067,162,1.45
18-Jun-07,0.86,0.047,175,2.343
26-Jun-07,0.869,0.062,178,0.919
4-Jul-07,0.861,0.045,191,0.471
12-Jul-07,0.87,0.056,198,2.352
20-Jul-07,0.868,0.064,203,2.374
28-Jul-07,0.86,0.059,212,0.741
5-Aug-07,0.861,0.072,217,0.316
13-Aug-07,0.849,0.085,226,1.459
21-Aug-07,0.861,0.068,240,0.19
29-Aug-07,0.857,0.072,247,0.99
6-Sep-07,0.857,0.072,256,3.105
14-Sep-07,0.829,0.064,263,0.072
22-Sep-07,0.795,0.064,267,1.894
30-Sep-07,0.749,0.049,278,0.484
8-Oct-07,0.736,0.052,286,1.343
16-Oct-07,0.639,0.064,295,0.048
24-Oct-07,0.635,0.066,299,2.289
1-Nov-07,0.646,0.07,306,0.048
9-Nov-07,0.639,0.073,315,0
17-Nov-07,0.643,0.082,322,0.353
25-Nov-07,0.635,0.077,334,1.217
3-Dec-07,0.273,0.07,340,0
11-Dec-07,0.345,0.166,352,0
19-Dec-07,0.01,0.121,354,2.179
27-Dec-07,0.306,0.086,3,0
1-Jan-08,0.255,0.134,8,2.391
9-Jan-08,0.306,0.122,12,1.35
17-Jan-08,0.3,0.128,21,0
25-Jan-08,0.303,0.115,31,0.651
2-Feb-08,0.159,0.078,40,0
10-Feb-08,0.158,0.091,45,1.456
18-Feb-08,0.229,0.109,56,1.677
26-Feb-08,0.228,0.115,60,0.703
5-Mar-08,0.232,0.109,66,2.209
13-Mar-08,0.236,0.104,77,1.905
21-Mar-08,0.217,0.112,83,1.066
29-Mar-08,0.229,0.11,90,1.903
6-Apr-08,0.393,0.139,99,1.972
14-Apr-08,0.494,0.094,108,0.929
22-Apr-08,0.545,0.079,115,0.097
30-Apr-08,0.58,0.067,126,0.346
8-May-08,0.69,0.06,135,0.647
16-May-08,0.756,0.079,138,0
24-May-08,0.787,0.077,147,0.972
1-Jun-08,0.851,0.056,159,0.155
9-Jun-08,0.846,0.073,165,1.009
17-Jun-08,,,,
25-Jun-08,0.888,0.048,183,1.162
3-Jul-08,0.869,0.065,188,1.181
11-Jul-08,0.876,0.053,198,0.418
19-Jul-08,0.87,0.055,208,0.099
27-Jul-08,0.882,0.038,213,0.521
4-Aug-08,0.88,0.056,223,1.095
12-Aug-08,0.878,0.058,227,1.233
20-Aug-08,0.862,0.064,236,0.59
28-Aug-08,0.846,0.065,245,0.105
5-Sep-08,0.86,0.054,255,2.62
13-Sep-08,0.842,0.062,261,0.379
21-Sep-08,0.823,0.06,268,0.048
29-Sep-08,0.645,0.036,279,0
7-Oct-08,0.69,0.054,284,0.084
15-Oct-08,0.635,0.063,291,0.993
23-Oct-08,0.634,0.067,300,0.857
31-Oct-08,0.631,0.07,307,0.508
8-Nov-08,,,,
16-Nov-08,0.611,0.083,328,0
24-Nov-08,0.648,0.032,334,0
2-Dec-08,0.561,0.092,343,2.292
10-Dec-08,,,,
18-Dec-08,0.186,0.054,353,0
26-Dec-08,,,,
1-Jan-09,0.306,0.099,6,0
9-Jan-09,0.252,0.09,12,1.065
17-Jan-09,0.236,0.146,17,1.999
25-Jan-09,0.157,0.082,26,0.338
2-Feb-09,0.264,0.13,40,1.818
10-Feb-09,0.229,0.105,42,1.601
18-Feb-09,0.216,0.111,55,0.439
26-Feb-09,0.2,0.09,59,2.15
6-Mar-09,0.212,0.083,66,0.713
14-Mar-09,0.314,0.124,79,2.226
22-Mar-09,0.412,0.118,87,1.816
30-Mar-09,0.408,0.094,92,0
7-Apr-09,0.506,0.089,103,0.241
15-Apr-09,0.514,0.078,105,1.587
23-Apr-09,0.541,0.072,117,1.102
1-May-09,0.689,0.011,128,0
9-May-09,0.741,0.066,133,1.038
17-May-09,0.784,0.054,139,1.494
25-May-09,0.802,0.055,146,0.072
2-Jun-09,0.853,0.03,155,0.995
10-Jun-09,0.841,0.05,167,0
18-Jun-09,,,,
26-Jun-09,,,,
4-Jul-09,0.872,0.05,187,2.271
12-Jul-09,0.866,0.052,196,1.171
20-Jul-09,0.867,0.034,208,2.508
28-Jul-09,0.877,0.063,213,0.619
5-Aug-09,0.865,0.072,220,0.498
13-Aug-09,0.87,0.067,227,1.098
21-Aug-09,0.868,0.048,239,0.378
29-Aug-09,0.86,0.061,245,0.883
6-Sep-09,0.831,0.054,249,0
14-Sep-09,0.826,0.063,263,0.087
22-Sep-09,0.788,0.048,267,1.265
30-Sep-09,,,,
8-Oct-09,0.642,0.033,285,0
16-Oct-09,0.651,0.049,292,1.212
24-Oct-09,0.63,0.057,299,1.443
1-Nov-09,0.627,0.066,306,2.494
9-Nov-09,0.619,0.074,320,0
17-Nov-09,0.623,0.073,323,0.048
25-Nov-09,0.599,0.058,333,0.186
3-Dec-09,0.6,0.071,338,0
11-Dec-09,0.17,0.085,348,1.722
19-Dec-09,0.345,0.039,356,0
27-Dec-09,0.189,0.089,364,0
1-Jan-10,,,,
9-Jan-10,0.171,0.062,16,0
17-Jan-10,0.217,0.081,23,0
25-Jan-10,0.224,0.11,31,2.334
2-Feb-10,0.208,0.09,40,2.63
10-Feb-10,0.251,0.075,43,0
18-Feb-10,0.175,0.09,49,1.532
26-Feb-10,0.237,0.129,61,0.58
6-Mar-10,0.42,0.142,69,1.697
14-Mar-10,0.506,0.101,79,1.255
22-Mar-10,0.518,0.084,86,0.024
30-Mar-10,0.53,0.078,92,0.09
7-Apr-10,0.537,0.074,97,1.705
15-Apr-10,0.569,0.068,111,0
23-Apr-10,0.623,0.067,120,2.671
1-May-10,0.764,0.076,127,0.147
9-May-10,0.78,0.078,136,1.594
17-May-10,0.838,0.078,143,0.543
25-May-10,0.83,0.074,145,0.709
2-Jun-10,0.856,0.039,153,1.548
10-Jun-10,0.872,0.072,166,0
18-Jun-10,0.854,0.067,170,0
26-Jun-10,0.865,0.074,184,0
4-Jul-10,0.857,0.067,186,0.246
12-Jul-10,0.854,0.063,193,1.028
20-Jul-10,0.861,0.06,208,2.763
28-Jul-10,0.852,0.06,213,1.136
5-Aug-10,0.827,0.054,220,1.042
13-Aug-10,0.854,0.062,232,0.443
21-Aug-10,0.841,0.045,240,0.272
29-Aug-10,0.85,0.066,241,0.199
6-Sep-10,0.825,0.058,254,1.782
14-Sep-10,0.804,0.064,261,1.375
22-Sep-10,0.768,0.065,266,0.371
30-Sep-10,0.737,0.06,276,0.245
8-Oct-10,0.697,0.06,282,1.003
16-Oct-10,0.647,0.063,296,0.442
24-Oct-10,0.618,0.067,299,0
1-Nov-10,0.666,0.087,310,2.487
9-Nov-10,0.623,0.077,314,0.746
17-Nov-10,0.642,0.084,328,3
25-Nov-10,0.623,0.083,333,0.369
3-Dec-10,0.645,0.098,342,0.433
11-Dec-10,0.205,0.035,351,0
19-Dec-10,,,,
27-Dec-10,0.264,0.096,362,0
1-Jan-11,0.177,0.053,6,0.629
9-Jan-11,0.184,0.086,11,2.061
17-Jan-11,0.241,0.092,22,0.958
25-Jan-11,0.228,0.105,31,1.4
2-Feb-11,0.143,0.086,34,2.041
10-Feb-11,0.243,0.118,48,1.221
18-Feb-11,0.185,0.092,55,0.853
26-Feb-11,0.229,0.086,60,0.848
6-Mar-11,0.005,0.003,66,0
14-Mar-11,0.22,0.111,77,1.484
22-Mar-11,0.228,0.094,86,0.644
30-Mar-11,0.24,0.1,93,1.999
7-Apr-11,0.436,0.095,99,2.085
15-Apr-11,0.51,0.09,105,2.126
23-Apr-11,,,,
1-May-11,0.576,0.074,121,2
9-May-11,0.654,0.071,132,0.209
17-May-11,0.806,0.012,144,0
25-May-11,0.83,0.066,146,2.285
2-Jun-11,0.849,0.073,155,0.927
10-Jun-11,0.882,0.045,167,0.741
18-Jun-11,0.853,0.063,171,0.569
26-Jun-11,0.885,0.073,178,2.036
4-Jul-11,0.868,0.064,187,2.215
12-Jul-11,0.861,0.069,196,1.027
20-Jul-11,0.869,0.075,203,0.311
28-Jul-11,0.866,0.067,212,0.106
5-Aug-11,0.847,0.028,223,0.21
13-Aug-11,0.852,0.05,232,0.178
21-Aug-11,0.882,0.04,233,1.01
29-Aug-11,0.861,0.075,242,1.683
6-Sep-11,0.842,0.071,253,0.943
14-Sep-11,0.822,0.064,262,0.21
22-Sep-11,0.772,0.061,269,0.449
30-Sep-11,0.731,0.05,280,0.024
8-Oct-11,0.697,0.072,283,0.982
16-Oct-11,0.669,0.059,294,1.823
24-Oct-11,0.392,0.16,301,1.498
1-Nov-11,0.639,0.073,308,1.436
9-Nov-11,0.643,0.069,313,0
17-Nov-11,0.611,0.073,326,0.526
25-Nov-11,0.611,0.075,335,0
3-Dec-11,0.631,0.083,338,0.024
11-Dec-11,0.56,0.139,352,2.778
19-Dec-11,0.604,0.099,356,1.31
27-Dec-11,0.564,0.105,363,0
1-Jan-12,0.53,0.085,4,0
9-Jan-12,0.485,0.047,11,0
17-Jan-12,0.198,0.087,18,0
25-Jan-12,,,,
2-Feb-12,0.385,0.135,40,1.717
10-Feb-12,0.427,0.13,41,0.52
18-Feb-12,0.471,0.099,51,0.483
26-Feb-12,0.206,0.085,57,0
5-Mar-12,0.248,0.137,71,2.037
13-Mar-12,0.518,0.092,78,0.964
21-Mar-12,0.525,0.084,87,0.37
29-Mar-12,0.529,0.088,94,0.47
6-Apr-12,0.532,0.054,104,1.319
14-Apr-12,0.565,0.078,110,0.304
22-Apr-12,0.611,0.073,119,0.116
30-Apr-12,0.67,0.07,128,0.974
8-May-12,0.737,0.075,133,0
16-May-12,0.814,0.068,140,0.995
24-May-12,0.853,0.059,147,0.523
1-Jun-12,0.821,0.066,153,0
9-Jun-12,0.85,0.066,167,0.201
17-Jun-12,0.854,0.071,176,1.26
25-Jun-12,0.873,0.071,181,0.907
3-Jul-12,0.866,0.073,185,2.211
11-Jul-12,0.851,0.061,194,0.19
19-Jul-12,0.853,0.062,201,1.396
27-Jul-12,0.861,0.074,213,0.31
4-Aug-12,0.848,0.061,217,0.158
12-Aug-12,0.843,0.046,230,1.363
20-Aug-12,0.83,0.068,240,1.141
28-Aug-12,0.838,0.071,247,0.711
5-Sep-12,0.818,0.064,256,0.486
13-Sep-12,0.811,0.071,261,0.568
21-Sep-12,0.787,0.066,265,0.221
29-Sep-12,,,,
7-Oct-12,0.655,0.097,287,0
15-Oct-12,0.628,0.051,292,0.253
23-Oct-12,0.657,0.066,298,0.518
31-Oct-12,0.645,0.082,311,0
8-Nov-12,0.635,0.073,316,0.517
16-Nov-12,0.639,0.079,327,0.167
24-Nov-12,0.594,0.107,331,1.175
2-Dec-12,0.548,0.041,341,0
10-Dec-12,0.623,0.089,350,0.425
18-Dec-12,0.592,0.105,359,0
26-Dec-12,0.159,0.06,2,0
1-Jan-13,0.142,0.063,2,0.736
9-Jan-13,0.388,0.101,14,0
17-Jan-13,0.255,0.14,18,0
25-Jan-13,0.134,0.112,27,1
2-Feb-13,0.494,0.095,36,0.964
10-Feb-13,0.193,0.098,46,0.589
18-Feb-13,0.263,0.107,49,0
26-Feb-13,0.188,0.092,64,0
6-Mar-13,0.209,0.096,69,0.454
14-Mar-13,0.185,0.11,80,1.308
22-Mar-13,0.495,0.067,86,0
30-Mar-13,0.475,0.113,89,3.298
7-Apr-13,0.502,0.094,98,0
15-Apr-13,0.518,0.083,107,0.373
23-Apr-13,0.529,0.08,114,0.27
1-May-13,0.549,0.078,121,0.353
9-May-13,0.768,0.044,136,1.164
17-May-13,0.794,0.056,137,1.267
25-May-13,0.849,0.059,147,1.861
2-Jun-13,0.865,0.076,153,1.459
10-Jun-13,0.847,0.057,166,0.148
18-Jun-13,0.86,0.062,171,1.884
26-Jun-13,,,,
4-Jul-13,0.864,0.058,187,0.806
12-Jul-13,0.874,0.047,198,0.837
20-Jul-13,0.873,0.076,208,3.218
28-Jul-13,0.827,0.063,212,1.009
5-Aug-13,0.865,0.07,217,0.054
13-Aug-13,0.857,0.05,228,1.878
21-Aug-13,0.858,0.065,233,1.031
29-Aug-13,0.85,0.06,242,1.859
6-Sep-13,0.846,0.07,249,0.209
14-Sep-13,0.808,0.064,258,1.916
22-Sep-13,0.763,0.059,272,1.649
30-Sep-13,0.724,0.053,274,0.132
8-Oct-13,0.693,0.063,281,1.576
16-Oct-13,0.612,0.056,292,0
24-Oct-13,0.628,0.079,302,0.368
1-Nov-13,0.65,0.074,306,0.987
9-Nov-13,0.639,0.08,320,3.393
17-Nov-13,0.607,0.076,324,0.784
25-Nov-13,0.58,0.101,334,0.442
3-Dec-13,,,,
11-Dec-13,0.241,0.111,350,0.947
19-Dec-13,0.532,0.177,359,0
27-Dec-13,0.171,0.088,1,109.135
1-Jan-14,0.325,0.117,8,1.499
9-Jan-14,0.494,0.175,15,1.959
17-Jan-14,0.184,0.092,24,0.785
25-Jan-14,0.23,0.079,28,1.277
2-Feb-14,0.205,0.085,38,0.9
10-Feb-14,0.22,0.103,47,1.125
18-Feb-14,0.264,0.115,53,0.989
26-Feb-14,0.163,0.128,58,1.86
6-Mar-14,0.194,0.101,67,0.651
14-Mar-14,0.205,0.102,77,0.679
22-Mar-14,0.216,0.135,86,1.499
30-Mar-14,0.217,0.101,94,1.355
7-Apr-14,0.443,0.093,100,0.468
15-Apr-14,0.526,0.091,110,0
23-Apr-14,0.557,0.062,114,1.271
1-May-14,0.587,0.071,127,0.301
9-May-14,0.591,0.079,131,0.076
17-May-14,0.736,0.077,140,0.306
25-May-14,0.81,0.07,145,3.072
2-Jun-14,0.846,0.075,154,1.327
10-Jun-14,0.833,0.062,167,0
18-Jun-14,0.85,0.065,174,1.714
26-Jun-14,0.872,0.054,178,1.985
4-Jul-14,0.874,0.053,192,1.491
12-Jul-14,0.857,0.064,199,1.26
